USN,SEMESTER,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS
1CR23IS204,6,BCS602,Machine Learning,44,,,BIS601,Full Stack Development,46,,,BIS613D ,CCS,34,,,BET654A,TRES(OE),49,,
1CR24IS400,6,BCS602,Machine Learning,22,,,BIS601,Full Stack Development,23,,,BIS613D ,CCS,24,,,BET654A,TRES(OE),26,,
1CR24IS402,6,BCS602,Machine Learning,NE,,,BIS601,Full Stack Development,0,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),0,,
1CR24IS404,6,BCS602,Machine Learning,15,,,BIS601,Full Stack Development,20,,,BIS613D ,CCS,25,,,BET654A,TRES(OE),29,,
1CR24IS410,6,BCS602,Machine Learning,34,,,BIS601,Full Stack Development,40,,,BIS613D ,CCS,21,,,BET654A,TRES(OE),36,,
1CR24IS416,6,BCS602,Machine Learning,NE,,,BIS601,Full Stack Development,0,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),0,,
1CR23IS068,6,BCS602,Machine Learning,44,,,BIS601,Full Stack Development,38,,,BIS613D ,CCS,44,,,BET654A,TRES(OE),48,,
1CR23IS069,6,BCS602,Machine Learning,38,,,BIS601,Full Stack Development,42,,,BIS613D ,CCS,40,,,BET654A,TRES(OE),42,,
1CR23IS070,6,BCS602,Machine Learning,36,,,BIS601,Full Stack Development,AB,,,BIS613D ,CCS,0,,,BET654A,TRES(OE),50,,
1CR23IS071,6,BCS602,Machine Learning,12,,,BIS601,Full Stack Development,21,,,BIS613D ,CCS,24,,,BET654A,TRES(OE),25,,
1CR23IS072,6,BCS602,Machine Learning,40,,,BIS601,Full Stack Development,41,,,BIS613D ,CCS,37,,,BET654A,TRES(OE),49,,
1CR23IS073,6,BCS602,Machine Learning,45,,,BIS601,Full Stack Development,48,,,BIS613D ,CCS,40,,,BET654A,TRES(OE),50,,
1CR23IS074,6,BCS602,Machine Learning,35,,,BIS601,Full Stack Development,29,,,BIS613D ,CCS,31,,,BET654A,TRES(OE),0,,
